字数	word_count	id	character	original	translation	great_next	next	choices	choice_num	animation	story	item_selectable	father_image	god_image	sinner_image	null
0		1000	神	Bunbunbunbun！	Bunbunbunbun!		1001									null
19		1001	神	你好，新来的审判长！欢迎来到我的面包审判厅！	Greetings, new presiding judge! Welcome to my Bread Court!			2000/	1							null
3		1002	主角	你是谁？	Who are you?		1003									null
15		1003	神	我是面包之神，掌管所有面包的神。	I’m the God of Bread and all bread is under my reign.			2001/	1							null
13	0	1004	主角	难道是某一种飞天拉面教……	Sounds like some kind of Flying Ramen Monsterism... 		1005									null
16	0	1005	神	和那种低级的碳水生物才没有关系啦！	What? We have absolutely nothing to do with that inferior carbohydrate creature!		1006									null
6	0	1006	主角	面包之神……	The God of Bread... 		1007									null
8	0	1007	神	没错，我的审判长。	That’s right, my presiding judge.		1008									null
27	0	1008	神	你是不是很好奇，为什么你会被选为这间神圣的审判厅的审判长？	Let me guess. You are wondering why you were chosen to preside over this holy tribunal, aren't you?		1009									null
4	0	1009	神	因为……	That is because... 		1010									null
13	0	1010	神	你是这世界上最伟大的面包师！	You are the greatest baker in this world!		1011									null
8	0	1011	神	也是最爱面包的人！	And the man who loves bread the most!		1012									null
23	0	1012	神	我对于你有百分之百的信任，所以我要给予你此重任。	I have 100% confidence in you, so I’m giving you this responsibility.			2002/	1							null
8	0	1013	主角	谢谢你的夸赞……	Thank you for the compliment... 		1014									null
5	0	1014	神	嘿嘿，不客气！	Hehe, you’re welcome!		1015									null
9	0	1015	神	好了，让我们回归正题！	All right, let’s get back to business!		1016									null
16	0	1016	神	接下来，你要聆听一些坏面包的证词。	Now, you’re going to hear testimony from some bad bread.		1017									null
11	0	1017	神	他们可能说得都很好听。	Their defense can be very persuasive.		1018									null
9	0	1018	神	但不要被他们给骗了！	But don’t let them fool you!	1026		2003/2004	2							null
8	0	1019	主角	坏面包是什么意思？	What do you mean by bad bread?		1020									null
13	0	1020	神	他们都伤害过别的面包的心。	They have all broken the hearts of other bread.		1021									null
15	0	1021	神	我作为面包之神实在是看不下去了！	And as the God of Bread, I cannot stand it any longer!											null
5	0	1022	主角	他们的证词？	Their testimony?		1023									null
14	0	1023	神	没错，面包们都会有自己的说辞。	Yes, all bread may tell their own stories to defend themselves.		1024									null
18	0	1024	神	而你的任务便是找出他们说辞间的漏洞。	And your job is to pick holes in their defenses.		1025									null
10	0	1025	神	毕竟……面包不住火呀！	After all, the truth will come to bread sooner or later!											null
14	0	1026	神	我会复现出他们做坏事的时刻。	I’ll recreate the moment when they did bad things.		1027									null
21	0	1027	神	你需要收集其中的信息，并在审判时刻亮出证据。	You need to collect clues and present the evidence at trial.		1028									null
8	0	1028	神	来戳破他们的谎言！	... To expose their lies!		1030			scene1						null
0	0															null
11	0	1030	神	那么，让第一位罪人上来吧！	Ok, let's summon the first sinner to court!		1031			crossiant-enter						null
14	0	1031	羊角包	这里是哪里？我怎么会在这里……	Where is this place? Why am I here?		1032									null
13	0	1032	神	审判长，接下来我会使用能力展现过去。	Your Honor, now I’m going to use my power to reconstruct the past... 		1033									null
17	0	1033	神	那是犯下罪证的时刻。	... and show the very moment of her committing sin.		1034									null
10	0	1034	神	点击图上有放大镜的部分收集关键信息吧！	Tap the magnifier on the image to collect clues!		1035									null
18	0	1035	神	让我发动能力……变变变变变！	Now let me use my power and... Abracadabra!		1036				story1					null
10	0	1036	神	看来你收集完毕了呢。	I see you’ve collected those clues.		1037									null
21	0	1037	神	接下来，你要使用这些关键信息对罪人提出质疑。	Next, you are going to make good use of those clues and wisely question the sinner.		1038									null
5	0	1038	神	准备好了吗？	Are you ready?		1039									null
12	0	1039	羊角包	你好……？我这是在哪里……？	Hey, how are you...? Where am I...?		1040									null
11	0	1040	神	先来问清楚她的身份吧。	First thing, let’s find out who she is.	1068						1				null
8	0	1041	主角	你是学校的老师吗？	Are you a school teacher?		1042									null
7	0	1042	羊角包	是的，我叫丽莎。	Yes, my name is Lisa.		1043									null
20	0	1043	羊角包	在本地小学执教数学科目，也身兼班主任一职。	I’m teaching mathematics at a local primary school and I also work as a class advisor.			2005/	1							null
4	0	1044	羊角包	你又是谁？	who are you?		1045									null
8	0	1045	主角	我是一名面包师。	I’m a baker... 			2006/	1							null
12	0	1046	羊角包	呃……面包师找我有什么事？	Ah... So what can I do for a baker?		1047									null
15	0	1047	主角	同时也是这间审判厅的审判长……	... And the presiding judge of this courtroom.		1048									null
14	0	1048	主角	接下来我应该会对你进行审判。	I’m probably putting you on trial.		1049									null
8	0	1049	神	大概是什么意思啦！	"Probably"?		1050									null
7	0	1050	主角	咳咳，不用怀疑。	Ahem, actually yes, I am the presiding judge.		1051									null
17	0	1051	主角	我就是审判长，接下来要对你进行审判。	And I will put you on trial.		1052									null
13	0	1052	羊角包	审判？我犯了什么罪？需要上法庭？	A trial? What crime have I committed? That I have to be taken to court?		1053									null
11	0	1053	主角	让我们来看关键证据吧。	Let’s look at the evidence.							2 3				null
15	0	1054	主角	看起来你好像不受同学们欢迎呢。	Looks like you are not popular with your class.		1055									null
